節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均走行距離_home,stats_1試合平均スプリント回数_home,stats_1試合平均Atスプリント回数_home,stats_1試合平均Mtスプリント回数_home,stats_1試合平均Dtスプリント回数_home,stats_1試合平均ポゼッション時の走行距離_home,stats_1試合平均ポゼッション時のスプリント回数_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均走行距離_away,stats_1試合平均スプリント回数_away,stats_1試合平均Atスプリント回数_away,stats_1試合平均Mtスプリント回数_away,stats_1試合平均Dtスプリント回数_away,stats_1試合平均ポゼッション時の走行距離_away,stats_1試合平均ポゼッション時のスプリント回数_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_season_away,rankmot_fetched_date_away,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,absence_missing_home,absence_missing_away,absence_effective_total_home,absence_effective_attack_home,absence_effective_defense_home,absence_effective_total_away,absence_effective_attack_away,absence_effective_defense_away,absence_cap_applied_home,absence_cap_applied_away,league,stats_asof,stats_source_csv,home_elo_at_prediction,away_elo_at_prediction,home_advantage_diff,home_advantage_profile_diff,hfa_applied_elo,hfa_added_to_diff,hfa_clip_min,hfa_clip_max,elo_diff_scale_factor,elo_diff_before_hfa,elo_diff_after_hfa,diff_raw_no_hfa,elo_diff_scaled,elo_diff_for_prob,elo_diff_used_for_prob,expected_home_two_way,is_home_advantage_positive,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,draw_tweak_mode,base_prob_home,base_prob_draw,base_prob_away,prob_home_win_before_signfix,prob_away_win_before_signfix,elo_sign_fix_applied,elo_sign_fix_reason,prob_home_raw,prob_away_raw,final_prob_home,final_prob_draw,final_prob_away,prob_delta_home,prob_delta_draw,prob_delta_away,residue_detected,prob_home_win,prob_draw,prob_away_win,prob_home,prob_away,final_result,predicted_result,decision_reason,force_draw_applied,argmax_result,argmax_max_prob,argmax_raw_result,argmax_raw_max_prob,d_scaled,decision_draw_expectation_multiplier,decision_draw_assign_enabled,predicted_highest_prob_result,actual_result,is_correct,stats_home_missing,stats_away_missing,management_missing,data_quality_warn,narrow_draw_override_applied,narrow_draw_override_reason,j1_away_restore_override_applied,j1_away_restore_override_reason,draw_candidate_gap,draw_candidate_prob_draw,draw_candidate_flag,draw_candidate_rule_result,draw_candidate_reason
第９節第２日,j1_2025_04061403_神戸_新潟,2025-04-06 14:03:00,国立,神戸,新潟,0,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,13.1,4.2,9.2,1.2,426.8,71.1,10.4,48.5,12.0,53.5,19.3,24.6,50.1,51.5,11.2,16.9,38.9,50.7,114.0,117.0,47.0,34.0,37.0,30.0,54.0,9.9,3.0,0.9,22.1,18.6,63.8,18.8,2.4,35.3,0.9,33.6,14.0,11.4,3.1,8.3,0.9,530.2,81.5,10.7,53.4,11.4,50.2,12.3,12.4,43.5,53.7,10.1,16.1,31.1,41.7,117.0,108.0,42.0,33.0,33.0,35.0,51.0,12.8,4.0,1.8,22.2,16.6,62.8,19.1,1.2,54.8,1.4,51.5,5.0,,0.0,0.0,0.0,,0.0,,,5,64,2025,20260214,20,24,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1500,1463,1.3684,1.3684,26.0,26.0,,,1.1,36.9306,62.9306,36.9306,46.1491,46.1491,46.1491,0.5442,True,0.3499189981255571,0.33895793295067606,0.3111230689237669,off,0.3445589856731624,0.33376582062986493,0.32167519369697284,0.3499189981255571,0.3111230689237669,False,,0.3499189981255571,0.3111230689237669,0.3445589856731624,0.33376582062986493,0.32167519369697284,0.0,0.0,0.0,False,0.3445589856731624,0.33376582062986493,0.32167519369697284,0.3445589856731624,0.32167519369697284,H,H,ARGMAX,False,H,0.3445589856731624,H,0.3499189981255571,46.149123671541176,1.0,False,H,A,False,False,False,True,True,False,,False,,0.01079316504329747,0.33376582062986493,True,D,prob_draw>=0.33 & gap<=0.02
第９節第２日,j1_2025_04061404_福岡_浦和,2025-04-06 14:04:00,ベススタ,福岡,浦和,1,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.9,3.9,6.9,0.9,396.8,76.0,9.4,48.3,9.7,50.4,13.1,19.9,55.2,47.3,10.9,13.9,31.4,47.3,115.0,108.0,39.0,37.0,32.0,30.0,49.0,10.9,3.7,1.0,21.7,15.1,62.2,17.0,1.1,40.7,1.0,35.8,16.0,12.2,3.9,9.7,1.2,479.7,79.7,11.8,52.6,14.1,52.0,13.4,13.8,48.9,51.6,11.1,15.5,32.7,46.7,116.0,138.0,52.0,45.0,41.0,34.0,68.0,13.0,3.5,1.0,23.8,14.7,63.2,19.6,1.8,54.3,1.4,51.0,14.0,,0.0,0.0,0.0,,0.0,0.0,0.0,12,48,2025,20260214,7,59,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1512,1503,0.5789,0.5789,26.0,26.0,,,1.1,8.9432,34.9432,8.9432,25.625,25.625,25.625,0.5246,True,0.31362077241773856,0.3810507439272107,0.3053284836550508,off,0.30890489919450487,0.3753209353238888,0.3157741654816064,0.31362077241773856,0.3053284836550508,False,,0.31362077241773856,0.3053284836550508,0.30890489919450487,0.3753209353238888,0.3157741654816064,0.0,0.0,0.0,False,0.30890489919450487,0.3753209353238888,0.3157741654816064,0.30890489919450487,0.3157741654816064,A,A,J1_AWAY_RESTORE_OVERRIDE,False,D,0.3753209353238888,D,0.3810507439272107,25.625007052437226,1.0,False,D,H,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,True,pred=D and away~home while draw only slightly above away,-0.05954676984228241,0.3753209353238888,True,D,prob_draw>=0.33 & gap<=0.02
第９節第２日,j1_2025_04061503_広島_Ｃ大阪,2025-04-06 15:03:00,Ｅピース,広島,Ｃ大阪,2,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,14.3,4.1,8.5,1.2,458.5,75.0,10.3,46.5,15.3,48.6,19.0,20.8,52.4,50.2,12.7,16.9,36.7,59.8,111.0,121.0,50.0,40.0,31.0,29.0,61.0,10.1,2.8,0.7,18.3,18.0,67.3,19.4,1.9,39.3,1.0,36.0,15.0,14.3,5.0,11.1,1.6,529.2,81.8,11.7,46.5,15.0,49.6,13.7,10.9,49.5,52.8,13.3,16.4,33.7,56.0,119.0,125.0,52.0,38.0,36.0,35.0,65.0,14.1,4.0,1.5,22.2,17.6,62.1,19.5,1.8,53.2,1.4,51.6,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4,68,2025,20260214,10,52,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1529,1490,0.6316,0.6316,26.0,26.0,,,1.1,38.1687,64.1687,38.1687,47.0571,47.0571,47.0571,0.545,True,0.3515454424236076,0.3371372419569979,0.3113173156193946,off,0.34615720581871784,0.3319698439231605,0.3218729502581216,0.3515454424236076,0.3113173156193946,False,,0.3515454424236076,0.3113173156193946,0.34615720581871784,0.3319698439231605,0.3218729502581216,0.0,0.0,0.0,False,0.34615720581871784,0.3319698439231605,0.3218729502581216,0.34615720581871784,0.3218729502581216,H,H,ARGMAX,False,H,0.34615720581871784,H,0.3515454424236076,47.05707290373989,1.0,False,H,H,True,False,False,False,True,False,,False,,0.01418736189555736,0.3319698439231605,True,D,prob_draw>=0.33 & gap<=0.02
第９節第２日,j1_2025_04061503_柏_Ｇ大阪,2025-04-06 15:03:00,三協Ｆ柏,柏,Ｇ大阪,1,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.6,4.2,12.6,1.6,609.2,82.7,12.6,46.0,19.0,49.7,14.1,14.0,51.1,59.3,13.7,17.1,31.0,51.3,119.0,137.0,60.0,45.0,32.0,40.0,71.0,11.1,3.0,0.9,23.7,16.6,68.1,19.3,2.0,43.2,1.1,40.0,19.0,13.2,4.1,10.6,1.4,497.1,79.7,10.5,48.6,13.5,47.4,13.1,13.7,46.6,52.4,11.8,18.1,34.4,50.6,111.0,110.0,41.0,35.0,34.0,30.0,54.0,11.9,4.4,1.4,22.7,19.1,68.1,17.9,1.3,47.4,1.2,44.2,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2,75,2025,20260214,9,57,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1518,1490,1.1053,1.1053,26.0,26.0,,,1.1,28.1669,54.1669,28.1669,39.7224,39.7224,39.7224,0.538,True,0.33845018944266664,0.35195326248293607,0.3095965480743973,off,0.33329090377696935,0.3465881379276396,0.32012095829539117,0.33845018944266664,0.3095965480743973,False,,0.33845018944266664,0.3095965480743973,0.33329090377696935,0.3465881379276396,0.32012095829539117,0.0,0.0,0.0,False,0.33329090377696935,0.3465881379276396,0.32012095829539117,0.33329090377696935,0.32012095829539117,D,D,NARROW_DRAW_OVERRIDE,False,D,0.3465881379276396,D,0.35195326248293607,39.72239635379664,1.0,False,D,H,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,False,,-0.013297234150670245,0.3465881379276396,True,D,prob_draw>=0.33 & gap<=0.02
第９節第２日,j1_2025_04061503_湘南_名古屋,2025-04-06 15:03:00,レモンＳ,湘南,名古屋,2,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,10.9,3.5,8.7,0.9,447.8,76.9,10.0,53.0,13.6,47.4,14.1,12.7,46.4,50.4,10.1,17.4,32.5,39.2,117.0,131.0,49.0,46.0,36.0,33.0,64.0,13.2,4.5,1.6,22.9,19.3,62.6,21.4,1.7,57.3,1.5,49.1,6.0,11.7,3.5,9.9,1.1,403.0,73.9,7.1,46.5,10.0,42.7,13.2,18.6,54.4,47.2,9.3,13.4,31.1,47.9,114.0,120.0,45.0,40.0,35.0,29.0,56.0,11.7,4.0,1.5,24.9,16.1,62.6,17.8,1.4,43.8,1.1,43.8,8.0,,0.0,,,,0.0,0.0,0.0,19,32,2025,20260214,16,43,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1496,1483,0.3684,0.3684,26.0,26.0,,,1.1,13.1155,39.1155,13.1155,28.6847,28.6847,28.6847,0.5275,True,0.3189657209589456,0.3746734559818044,0.3063608230592501,off,0.3141535046464243,0.3690207804801117,0.31682571487346417,0.3189657209589456,0.3063608230592501,False,,0.3189657209589456,0.3063608230592501,0.3141535046464243,0.3690207804801117,0.31682571487346417,0.0,0.0,0.0,False,0.3141535046464243,0.3690207804801117,0.31682571487346417,0.3141535046464243,0.31682571487346417,A,A,J1_AWAY_RESTORE_OVERRIDE,False,D,0.3690207804801117,D,0.3746734559818044,28.68466943930374,1.0,False,D,H,False,False,False,True,True,True,prob_draw>=0.335 & gap<=0.010,True,pred=D and away~home while draw only slightly above away,-0.05219506560664755,0.3690207804801117,True,D,prob_draw>=0.33 & gap<=0.02
第９節第２日,j1_2025_04061503_鹿島_京都,2025-04-06 15:03:00,カシマ,鹿島,京都,3,4,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,11.8,4.2,12.9,1.5,449.7,76.9,9.1,47.5,12.2,46.8,13.1,17.7,54.3,50.2,10.2,14.8,33.2,47.6,112.0,122.0,48.0,39.0,35.0,30.0,56.0,11.7,3.6,0.8,23.1,17.4,60.2,18.4,1.5,47.3,1.2,44.8,16.0,11.6,4.4,14.0,1.6,365.9,68.7,7.5,46.5,12.5,42.6,14.0,19.3,46.9,48.7,10.2,14.1,33.5,49.6,117.0,145.0,50.0,44.0,51.0,28.0,58.0,12.7,3.8,1.1,24.9,16.9,62.6,18.7,1.6,52.5,1.3,49.2,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1,76,2025,20260214,3,68,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1527,1512,0.4211,0.4211,26.0,26.0,,,1.1,15.1729,41.1729,15.1729,30.1935,30.1935,30.1935,0.5289,True,0.3216110437267292,0.3715405235124014,0.30684843276086937,off,0.3167513115505179,0.36592632750732323,0.3173223609421588,0.3216110437267292,0.30684843276086937,False,,0.3216110437267292,0.30684843276086937,0.3167513115505179,0.36592632750732323,0.3173223609421588,0.0,0.0,0.0,False,0.3167513115505179,0.36592632750732323,0.3173223609421588,0.3167513115505179,0.3173223609421588,A,A,J1_AWAY_RESTORE_OVERRIDE,False,D,0.36592632750732323,D,0.3715405235124014,30.193463140804127,1.0,False,D,A,True,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,True,pred=D and away~home while draw only slightly above away,-0.048603966565164414,0.36592632750732323,True,D,prob_draw>=0.33 & gap<=0.02
第５節第３日,j1_2025_04091903_川崎Ｆ_横浜FM,2025-04-09 19:03:00,Ｕ等々力,川崎Ｆ,横浜FM,3,3,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,13.0,4.6,13.6,1.8,472.3,79.8,11.2,49.8,12.7,52.0,12.6,12.4,47.5,50.3,12.4,15.8,32.7,55.2,111.0,113.0,46.0,35.0,32.0,29.0,56.0,11.7,3.6,1.5,20.9,15.8,65.0,19.6,2.0,46.3,1.2,43.0,8.0,10.7,3.4,11.3,1.2,427.9,77.4,10.2,53.1,10.9,40.7,12.4,12.4,42.9,49.2,9.5,15.5,31.4,41.8,115.0,116.0,40.0,35.0,40.0,31.0,52.0,13.0,4.4,1.2,24.4,15.9,63.2,17.6,1.4,49.2,1.2,45.9,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,8,57,2025,20260214,15,43,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1527,1482,0.6842,0.6842,26.0,26.0,,,1.1,45.3468,71.3468,45.3468,52.321,52.321,52.321,0.55,True,0.3610009733426127,0.3266604527035519,0.3123385739538355,off,0.3554499370205635,0.32163746337157156,0.3229125996078649,0.3610009733426127,0.3123385739538355,False,,0.3610009733426127,0.3123385739538355,0.3554499370205635,0.32163746337157156,0.3229125996078649,0.0,0.0,0.0,False,0.3554499370205635,0.32163746337157156,0.3229125996078649,0.3554499370205635,0.3229125996078649,H,H,ARGMAX,False,H,0.3554499370205635,H,0.3610009733426127,52.320996644120264,1.0,False,H,D,False,False,False,False,True,False,,False,,0.033812473648991925,0.32163746337157156,False,H,
第１０節第１日,j1_2025_04111903_FC東京_柏,2025-04-11 19:03:00,国立,FC東京,柏,1,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.1,3.7,8.9,1.1,458.3,77.7,11.5,46.6,12.1,46.3,12.3,14.9,49.4,50.9,10.2,16.8,31.4,50.2,115.0,135.0,54.0,45.0,36.0,33.0,68.0,12.8,4.0,1.3,23.4,18.1,63.4,17.1,2.3,47.6,1.2,43.5,11.0,12.6,4.2,12.6,1.6,609.2,82.7,12.6,46.0,19.0,49.7,14.1,14.0,51.1,59.3,13.7,17.1,31.0,51.3,119.0,137.0,60.0,45.0,32.0,40.0,71.0,11.1,3.0,0.9,23.7,16.6,68.1,19.3,2.0,43.2,1.1,40.0,19.0,,0.0,0.0,0.0,,0.0,0.0,0.0,11,50,2025,20260214,2,75,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1471,1527,-0.3158,-0.3158,26.0,26.0,,,1.1,-55.9668,-29.9668,-55.9668,-21.9756,-21.9756,-21.9756,0.4789,False,0.3078699959696,0.39212024161333175,0.3000097624170683,off,0.30332004720468936,0.38632517540882505,0.3103547773864856,0.3078699959696,0.3000097624170683,False,,0.3078699959696,0.3000097624170683,0.30332004720468936,0.38632517540882505,0.3103547773864856,0.0,0.0,0.0,False,0.30332004720468936,0.38632517540882505,0.3103547773864856,0.30332004720468936,0.3103547773864856,A,A,J1_AWAY_RESTORE_OVERRIDE,False,D,0.38632517540882505,D,0.39212024161333175,21.975620982983873,1.0,False,D,D,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,True,pred=D and away~home while draw only slightly above away,-0.07597039802233946,0.38632517540882505,True,D,prob_draw>=0.33 & gap<=0.02
第１０節第２日,j1_2025_04121403_広島_岡山,2025-04-12 14:03:00,Ｅピース,広島,岡山,0,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,14.3,4.1,8.5,1.2,458.5,75.0,10.3,46.5,15.3,48.6,19.0,20.8,52.4,50.2,12.7,16.9,36.7,59.8,111.0,121.0,50.0,40.0,31.0,29.0,61.0,10.1,2.8,0.7,18.3,18.0,67.3,19.4,1.9,39.3,1.0,36.0,15.0,11.2,3.3,8.0,0.9,338.8,67.2,9.8,48.9,10.9,39.0,15.6,20.0,49.0,43.4,9.2,16.2,33.7,41.3,116.0,128.0,45.0,41.0,43.0,27.0,51.0,12.8,3.9,1.1,26.4,18.7,61.3,22.1,1.7,50.9,1.3,49.3,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4,68,2025,20260214,13,45,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1538,1508,0.7368,0.7368,26.0,26.0,,,1.1,29.629,55.629,29.629,40.7946,40.7946,40.7946,0.5391,True,0.34035794883751336,0.349772408579405,0.30986964258308175,off,0.33516507474168644,0.34443589716208506,0.32039902809622856,0.34035794883751336,0.30986964258308175,False,,0.34035794883751336,0.30986964258308175,0.33516507474168644,0.34443589716208506,0.32039902809622856,0.0,0.0,0.0,False,0.33516507474168644,0.34443589716208506,0.32039902809622856,0.33516507474168644,0.32039902809622856,D,D,NARROW_DRAW_OVERRIDE,False,D,0.34443589716208506,D,0.349772408579405,40.794614343790215,1.0,False,D,A,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,False,,-0.009270822420398617,0.34443589716208506,True,D,prob_draw>=0.33 & gap<=0.02
第１０節第２日,j1_2025_04121403_清水_川崎Ｆ,2025-04-12 14:03:00,アイスタ,清水,川崎Ｆ,1,1,0.0,10.5,0.0,0.0,,,,,,,0.0,10.5,,,False,False,False,15.0,3.0,,,,True,12.5,3.2,8.7,1.1,476.3,79.2,12.7,43.9,16.1,47.9,14.3,13.9,47.6,50.5,11.4,15.3,33.1,51.2,113.0,118.0,46.0,37.0,35.0,30.0,60.0,13.7,4.7,1.3,23.2,14.7,66.4,18.3,2.2,54.9,1.4,51.6,12.0,13.0,4.6,13.6,1.8,472.3,79.8,11.2,49.8,12.7,52.0,12.6,12.4,47.5,50.3,12.4,15.8,32.7,55.2,111.0,113.0,46.0,35.0,32.0,29.0,56.0,11.7,3.6,1.5,20.9,15.8,65.0,19.6,2.0,46.3,1.2,43.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,14,44,2025,20260214,8,57,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1488,1526,-0.1053,-0.1053,26.0,26.0,,,1.1,-38.3027,-12.3027,-38.3027,-9.022,-9.022,-9.022,0.4913,False,0.2853308835123996,0.41758963387577513,0.2970794826118252,off,0.2811546200593419,0.4114775568904061,0.30736782305025184,0.2853308835123996,0.2970794826118252,False,,0.2853308835123996,0.2970794826118252,0.2811546200593419,0.4114775568904061,0.30736782305025184,0.0,0.0,0.0,False,0.2811546200593419,0.4114775568904061,0.30736782305025184,0.2811546200593419,0.30736782305025184,D,D,NARROW_DRAW_OVERRIDE,False,D,0.4114775568904061,D,0.41758963387577513,9.022003609390444,1.0,False,D,D,True,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,False,,-0.10410973384015426,0.4114775568904061,True,D,prob_draw>=0.33 & gap<=0.02
第１０節第２日,j1_2025_04121403_福岡_横浜FM,2025-04-12 14:03:00,ベススタ,福岡,横浜FM,2,1,0.0,10.5,0.0,0.0,,,,,,,0.0,10.5,,,False,False,False,15.0,3.0,,,,True,12.9,3.9,6.9,0.9,396.8,76.0,9.4,48.3,9.7,50.4,13.1,19.9,55.2,47.3,10.9,13.9,31.4,47.3,115.0,108.0,39.0,37.0,32.0,30.0,49.0,10.9,3.7,1.0,21.7,15.1,62.2,17.0,1.1,40.7,1.0,35.8,16.0,10.7,3.4,11.3,1.2,427.9,77.4,10.2,53.1,10.9,40.7,12.4,12.4,42.9,49.2,9.5,15.5,31.4,41.8,115.0,116.0,40.0,35.0,40.0,31.0,52.0,13.0,4.4,1.2,24.4,15.9,63.2,17.6,1.4,49.2,1.2,45.9,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,12,48,2025,20260214,15,43,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1522,1483,0.5789,0.5789,26.0,26.0,,,1.1,38.6551,64.6551,38.6551,47.4137,47.4137,47.4137,0.5454,True,0.3521847504906942,0.3364230815696345,0.3113921679396713,off,0.3467854370382321,0.33126540887793837,0.32194915408382946,0.3521847504906942,0.3113921679396713,False,,0.3521847504906942,0.3113921679396713,0.3467854370382321,0.33126540887793837,0.32194915408382946,0.0,0.0,0.0,False,0.3467854370382321,0.33126540887793837,0.32194915408382946,0.3467854370382321,0.32194915408382946,H,H,ARGMAX,False,H,0.3467854370382321,H,0.3521847504906942,47.41374728380412,1.0,False,H,H,True,False,False,False,True,False,,False,,0.015520028160293742,0.33126540887793837,True,D,prob_draw>=0.33 & gap<=0.02
第１０節第２日,j1_2025_04121403_Ｇ大阪_名古屋,2025-04-12 14:03:00,パナスタ,Ｇ大阪,名古屋,2,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,13.2,4.1,10.6,1.4,497.1,79.7,10.5,48.6,13.5,47.4,13.1,13.7,46.6,52.4,11.8,18.1,34.4,50.6,111.0,110.0,41.0,35.0,34.0,30.0,54.0,11.9,4.4,1.4,22.7,19.1,68.1,17.9,1.3,47.4,1.2,44.2,11.0,11.7,3.5,9.9,1.1,403.0,73.9,7.1,46.5,10.0,42.7,13.2,18.6,54.4,47.2,9.3,13.4,31.1,47.9,114.0,120.0,45.0,40.0,35.0,29.0,56.0,11.7,4.0,1.5,24.9,16.1,62.6,17.8,1.4,43.8,1.1,43.8,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,9,57,2025,20260214,16,43,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-04-04,team_master_stats_j1_2025.csv,1481,1473,1.2105,1.2105,26.0,26.0,,,1.1,7.1229,33.1229,7.1229,24.2901,24.2901,24.2901,0.5233,True,0.31129734870900144,0.38384272064161956,0.304859930649379,off,0.306623487945475,0.378079653789903,0.31529685826462195,0.31129734870900144,0.304859930649379,False,,0.31129734870900144,0.304859930649379,0.306623487945475,0.378079653789903,0.31529685826462195,0.0,0.0,0.0,False,0.306623487945475,0.378079653789903,0.31529685826462195,0.306623487945475,0.31529685826462195,A,A,J1_AWAY_RESTORE_OVERRIDE,False,D,0.378079653789903,D,0.38384272064161956,24.290123527752957,1.0,False,D,H,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,True,pred=D and away~home while draw only slightly above away,-0.06278279552528104,0.378079653789903,True,D,prob_draw>=0.33 & gap<=0.02
